Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,17.840000,18.370001,17.809999,18.230000,18.230000,3505000
2019-08-20,18.120001,18.400000,18.063999,18.309999,18.309999,2954100
2019-08-21,18.670000,19.010000,18.459999,18.469999,18.469999,3383100
2019-08-22,18.459999,18.545000,17.905001,18.049999,18.049999,2999300
2019-08-23,17.830000,18.000000,17.309999,17.480000,17.480000,3217300
2019-08-26,17.730000,17.730000,17.090000,17.170000,17.170000,3108700
2019-08-27,17.309999,17.370001,16.680000,16.730000,16.730000,2376000
2019-08-28,16.580000,17.280001,16.459999,17.010000,17.010000,2915700
2019-08-29,17.320000,17.980000,17.263000,17.799999,17.799999,3069400
2019-08-30,17.940001,18.170000,17.709999,17.930000,17.930000,2095400
2019-09-03,17.629999,17.700001,17.090000,17.610001,17.610001,2604500
2019-09-04,18.020000,18.389999,17.959999,18.280001,18.280001,2573200
2019-09-05,18.709999,19.764999,18.700001,19.620001,19.620001,5547200
2019-09-06,19.520000,19.639999,18.980000,19.110001,19.110001,2970600
2019-09-09,19.270000,20.420000,19.270000,20.299999,20.299999,4241600
2019-09-10,20.389999,20.889999,19.850000,20.830000,20.830000,3213800
2019-09-11,21.350000,22.280001,20.700001,22.180000,22.180000,6270100
2019-09-12,22.030001,22.820000,21.379999,22.559999,22.559999,5143800
2019-09-13,22.950001,23.325001,22.700001,22.889999,22.889999,4218900
2019-09-16,22.559999,22.870001,22.379999,22.559999,22.559999,2866100
2019-09-17,22.000000,22.350000,21.549999,22.030001,22.030001,3653900
2019-09-18,21.790001,22.000000,21.368999,21.670000,21.670000,4159200
2019-09-19,21.299999,22.209999,21.299999,21.940001,21.940001,2990600
2019-09-20,22.040001,22.096001,21.500000,21.700001,21.700001,5090200
2019-09-23,20.660000,21.707001,20.440001,21.299999,21.299999,3529200
2019-09-24,21.070000,21.440001,20.420000,20.620001,20.620001,3718000
2019-09-25,20.480000,21.559999,20.379999,21.500000,21.500000,3352100
2019-09-26,21.190001,21.230000,20.590000,20.990000,20.990000,2260200
2019-09-27,21.080000,21.230000,20.430000,20.610001,20.610001,3087400
2019-09-30,20.530001,20.549999,19.950001,20.070000,20.070000,3276600
2019-10-01,20.190001,20.870001,19.700001,19.860001,19.860001,3241700
2019-10-02,19.420000,19.549999,18.820000,19.299999,19.299999,3069500
2019-10-03,19.129999,19.340000,18.680000,19.049999,19.049999,3504800
2019-10-04,19.100000,19.490000,18.940001,19.450001,19.450001,2750900
2019-10-07,19.410000,19.775000,19.190001,19.250000,19.250000,2624400
2019-10-08,18.900000,19.010000,18.469999,18.490000,18.490000,3526900
2019-10-09,18.750000,18.820000,18.186001,18.410000,18.410000,3000400
2019-10-10,18.639999,18.993999,18.420000,18.690001,18.690001,3313500
2019-10-11,19.160000,19.500000,18.969999,19.280001,19.280001,5999800
2019-10-14,19.020000,19.440001,18.780001,19.170000,19.170000,5806700
2019-10-15,19.110001,19.813000,18.961000,19.459999,19.459999,7569500
2019-10-16,19.250000,19.959999,19.160000,19.160000,19.160000,7168000
2019-10-17,20.549999,21.629999,20.030001,20.299999,20.299999,9109900
2019-10-18,20.660000,21.639999,20.340000,21.540001,21.540001,6030900
2019-10-21,21.570000,21.660000,20.450001,20.469999,20.469999,6187000
2019-10-22,20.450001,21.030001,19.920000,20.730000,20.730000,4071100
2019-10-23,20.809999,21.389999,20.809999,21.280001,21.280001,3167000
2019-10-24,21.340000,21.570000,20.445000,20.740000,20.740000,4190300
2019-10-25,20.680000,21.200001,20.600000,21.020000,21.020000,5924400
2019-10-28,21.219999,21.770000,21.190001,21.520000,21.520000,2825800
2019-10-29,21.450001,21.730000,21.049999,21.600000,21.600000,2443600
2019-10-30,21.299999,21.344999,20.775000,21.290001,21.290001,3718500
2019-10-31,20.940001,21.299999,20.360001,20.790001,20.790001,5468700
2019-11-01,21.030001,22.059999,21.000000,21.870001,21.870001,5474100
2019-11-04,22.280001,22.985001,22.020000,22.910000,22.910000,3741000
2019-11-05,23.200001,23.465000,22.549999,22.590000,22.590000,5205300
2019-11-06,22.410000,22.620001,21.889999,21.900000,21.900000,2274000
2019-11-07,22.400000,23.065001,22.299999,22.559999,22.559999,2963600
2019-11-08,22.379999,22.950001,22.250000,22.530001,22.530001,4674800
2019-11-11,22.150000,22.309999,21.684000,22.219999,22.219999,3124800
2019-11-12,22.330000,23.020000,22.059999,22.180000,22.180000,3105100
2019-11-13,21.530001,21.820000,20.980000,21.219999,21.219999,4458400
2019-11-14,21.049999,21.400000,20.709999,20.990000,20.990000,2919400
2019-11-15,21.000000,21.250000,20.434999,20.889999,20.889999,3289100
2019-11-18,20.620001,20.820000,20.000000,20.760000,20.760000,3616500
2019-11-19,21.030001,21.032000,20.440001,20.570000,20.570000,2341100
2019-11-20,20.400000,20.980000,20.230000,20.370001,20.370001,2526000
2019-11-21,20.430000,20.700001,20.105000,20.150000,20.150000,2470200
2019-11-22,20.389999,20.945000,20.389999,20.559999,20.559999,4420100
2019-11-25,20.750000,20.900000,20.400000,20.440001,20.440001,2775200
2019-11-26,20.410000,20.510000,20.139999,20.260000,20.260000,2739500
2019-11-27,20.290001,20.600000,20.180000,20.600000,20.600000,2292600
2019-11-29,20.430000,20.469999,20.158001,20.350000,20.350000,1223300
2019-12-02,20.469999,20.959999,20.330000,20.330000,20.330000,2589100
2019-12-03,19.969999,20.010000,19.520000,19.790001,19.790001,3053700
2019-12-04,19.969999,20.150000,19.760000,19.760000,19.760000,4574700
2019-12-05,19.860001,20.010000,19.750000,19.870001,19.870001,4065900
2019-12-06,20.129999,20.900000,20.059999,20.600000,20.600000,5271100
2019-12-09,20.670000,20.809999,20.120001,20.250000,20.250000,5420600
2019-12-10,20.219999,20.719999,20.190001,20.650000,20.650000,3175800
2019-12-11,20.549999,20.920000,20.459999,20.650000,20.650000,2535400
2019-12-12,20.400000,21.340000,20.309999,21.260000,21.260000,3444100
2019-12-13,21.420000,21.590000,20.590000,20.690001,20.690001,4333800
2019-12-16,20.990000,21.395000,20.879999,20.980000,20.980000,3211800
2019-12-17,20.820000,20.945000,20.520000,20.709999,20.709999,3504000
2019-12-18,20.600000,21.035000,20.500000,20.950001,20.950001,5129800
2019-12-19,21.100000,21.665001,21.000000,21.469999,21.469999,4766900
2019-12-20,21.580000,21.650000,20.980000,21.230000,21.230000,5139800
2019-12-23,21.299999,21.549999,21.260000,21.480000,21.480000,2262200
2019-12-24,21.610001,21.920000,21.469999,21.580000,21.580000,1092200
2019-12-26,21.500000,21.700001,21.245001,21.450001,21.450001,4729200
2019-12-27,21.410000,21.780001,21.330000,21.580000,21.580000,2455000
